编号,zeta,相对L2误差(%),RMSE,最大绝对误差,物理残差MSE
Z01,0.02,0.803059,3.61E-03,1.15E-02,1.96E-02
Z02,0.045263,8.823502,3.51E-02,1.16E-01,1.20E-01
Z03,0.070526,18.309226,6.70E-02,1.33E-01,4.08E-01
Z04,0.095789,1.965781,6.80E-03,1.90E-02,6.29E-03
Z05,0.121053,1.637899,5.45E-03,1.04E-02,3.99E-03
Z06,0.146316,0.975059,3.16E-03,6.66E-03,4.76E-03
Z07,0.171579,1.320386,4.20E-03,1.32E-02,4.55E-03
Z08,0.196842,1.701708,5.33E-03,1.53E-02,7.09E-03
Z09,0.222105,2.896072,8.97E-03,2.52E-02,1.02E-02
Z10,0.247368,1.947074,5.98E-03,2.03E-02,6.20E-03
Z11,0.272632,1.372717,4.19E-03,1.56E-02,4.90E-03
Z12,0.297895,1.824935,5.54E-03,1.69E-02,5.49E-03
Z13,0.323158,1.507621,4.55E-03,1.19E-02,4.19E-03
Z14,0.348421,1.467988,4.42E-03,1.38E-02,1.36E-02
Z15,0.373684,1.062213,3.19E-03,8.60E-03,5.23E-03
Z16,0.398947,7.884616,2.36E-02,7.77E-02,3.74E-02
Z17,0.424211,3.296615,9.85E-03,2.94E-02,1.02E-02
Z18,0.449474,0.820968,2.45E-03,6.89E-03,3.07E-03
Z19,0.474737,7.308738,2.18E-02,7.35E-02,3.65E-02
Z20,0.5,1.310384,3.90E-03,9.93E-03,5.96E-03
